source,year,title,doi
OpenAlex,2022,Psychometric properties of the Italian version of the climate change worry scale,10.1016/j.joclim.2022.100140
Europe PMC,2024,Psychometric properties of the French version of the climate change worry scale.,10.1016/j.joclim.2024.100361
OpenAlex,2020,The Persian version of the Dimensional Obsessive-Compulsive Scale (P-DOCS): A psychometric evaluation,10.1016/j.jocrd.2020.100522
OpenAlex,2020,Psychometric evaluation of the Vancouver Obsessional-Compulsive Inventory (VOCI) and its adaptation based on the DSM-5 in Iranian patients with obsessive-compulsive disorder,10.1016/j.jocrd.2020.100536
OpenAlex,2014,(160) Are mindfulness and pain catastrophizing unique constructs?,10.1016/j.jpain.2014.01.066
OpenAlex,2021,"August 11, 2021",10.1016/j.jpainsymman.2021.08.006
Europe PMC,2022,Visual worry in patients with schizophrenia.,10.1016/j.jpsychires.2022.07.007
Europe PMC,2023,Abnormal multi-layered dynamic cortico-subcortical functional connectivity in major depressive disorder and generalized anxiety disorder.,10.1016/j.jpsychires.2023.10.004
Europe PMC,2025,Is emotional neglect the first psychological threat? Differentiating ICD-11 PTSD and complex PTSD with comorbid anxiety and depression.,10.1016/j.jpsychires.2025.09.017
Europe PMC,2026,"Anxiety sensitivity in late-life depression. Links to cognitive impairment, insomnia, and health-related quality of life.",10.1016/j.jpsychires.2025.12.012
OpenAlex,2022,The need for controllability and predictability questionnaire: Psychometric properties and first findings in a clinical sample,10.1016/j.jpsychores.2022.110829
OpenAlex,2026,Emotion dysregulation and repetitive negative thinking in outpatients with cardiovascular diseases: An exploratory cross-sectional study,10.1016/j.jpsychores.2026.112788
OpenAlex,2013,Traitement du trouble d’anxiété généralisée chez des individus présentant un trouble bipolaire : un protocole à cas unique,10.1016/j.jtcc.2012.11.003
OpenAlex,2016,Utilidad de etomidato en paciente con síndrome de Cushing con hipertensión arterial e hipopotasemia graves,10.1016/j.medin.2016.05.005
OpenAlex,2018,Generalized Anxiety Disorder-7 (GAD-7) in people with infertility: A reliability and validity study,10.1016/j.mefs.2018.01.013
OpenAlex,2020,Acute and chronic effects of resistance exercise training among young adults with and without analogue Generalized Anxiety Disorder: A protocol for pilot randomized controlled trials,10.1016/j.mhpa.2020.100321
OpenAlex,2020,Sprint interval training in young adult males with & without elevated worry,10.1016/j.mhpa.2020.100328
OpenAlex,2024,Associations of physical activity and sedentary time with craving and mental health in individuals with alcohol use disorder,10.1016/j.mhpa.2024.100589
Europe PMC,2026,Development and validation of the psychological safety in nursing simulation (PSSANS) tool.,10.1016/j.nedt.2026.106993
Europe PMC,2012,Riluzole effect on occipital cortex: a structural and spectroscopy pilot study.,10.1016/j.neulet.2012.09.054
Europe PMC,2014,Reduced hippocampal N-acetyl-aspartate (NAA) as a biomarker for overweight.,10.1016/j.nicl.2013.12.014
PubMed,2018,The verbal nature of worry in generalized anxiety: Insights from the brain.,10.1016/j.nicl.2017.12.014
OpenAlex,2012,Beliefs over control and meta-worry interact with the effect of intolerance of uncertainty on worry,10.1016/j.paid.2012.03.016
OpenAlex,2017,Intolerance of uncertainty mediates the relationship between adult attachment and worry,10.1016/j.paid.2017.02.039
OpenAlex,2018,The transdiagnostic model of worry: The mediating role of experiential avoidance,10.1016/j.paid.2018.07.011
OpenAlex,2019,Measuring repetitive thinking in Iran: Psychometric properties of Persian version of Perseverative Thinking Questionnaire,10.1016/j.paid.2019.05.012
OpenAlex,2021,"Humor and anxiety: The relationship between the comic styles, worry and general well-being",10.1016/j.paid.2021.111028
OpenAlex,2022,A bifactor approach to modeling the structure of repetitive thinking: Replication and extension,10.1016/j.paid.2021.111472
OpenAlex,2023,"Semantic and sentiment similarities contribute to construct overlaps between mindfulness, Big Five, emotion regulation, and mental health",10.1016/j.paid.2023.112241
Europe PMC,2010,"A multi-center, double-blind, randomised study of the Lavender oil preparation Silexan in comparison to Lorazepam for generalized anxiety disorder.",10.1016/j.phymed.2009.10.006
Europe PMC,2025,Influence of acute and chronic therapeutic cooling on cognitive performance and well-being.,10.1016/j.physbeh.2024.114728
Europe PMC,2026,Effectiveness of transcranial direct current stimulation with and without positive mood induction on worry and transdiagnostic cognitive-emotional processes: A randomized controlled trial.,10.1016/j.physbeh.2026.115461
Europe PMC,2014,Fear of falling during activities of daily living after total hip arthroplasty in Japanese women: a cross-sectional study.,10.1016/j.physio.2013.10.006
Europe PMC,2015,Temporal profile of brain response to alprazolam in patients with generalized anxiety disorder.,10.1016/j.pscychresns.2015.06.016
Europe PMC,2016,Penn State Worry Questionnaire - 10: A new tool for measurement-based care.,10.1016/j.psychres.2016.02.069
Europe PMC,2017,"Determination of health anxiety, anxiety, and somatosensory amplification levels in individuals with normal coronary angiography.",10.1016/j.psychres.2017.02.057
Europe PMC,2022,Predictive utility of symptom measures in classifying anxiety and depression: A machine-learning approach.,10.1016/j.psychres.2022.114534
Europe PMC,2023,Effects of resistance exercise training on depressive symptoms among young adults: A randomized controlled trial.,10.1016/j.psychres.2023.115322
Europe PMC,2024,Physical activity dose for generalized anxiety disorder &amp; worry: Results from the Irish longitudinal study on ageing.,10.1016/j.psychres.2024.115723
OpenAlex,2017,"Acute exercise effects on worry, state anxiety, and feelings of energy and fatigue among young women with probable Generalized Anxiety Disorder: A pilot study",10.1016/j.psychsport.2017.07.009
Europe PMC,2025,Acute and chronic effects of guidelines-based progressive resistance exercise training compared to a low-intensity sham attention-control on signs and symptoms among young adult women with analogue generalized anxiety disorder: Design and methods of a randomized controlled trial.,10.1016/j.psychsport.2025.102902
Europe PMC,2024,Ovarian hormones reduce the negative association between worry and cognitive control: A combined neural and behavioral investigation.,10.1016/j.psyneuen.2023.106947
OpenAlex,2013,The Role of Emotional Schema in Prediction of Pathological Worry in Iranian Students,10.1016/j.sbspro.2013.06.687
Europe PMC,2022,"Pandemic paranoia, general paranoia, and their relationships with worry and beliefs about self/others - A multi-site latent class analysis.",10.1016/j.schres.2022.01.045
Europe PMC,2011,Two year psychosocial and mental health outcomes for refugees subjected to restrictive or supportive immigration policies.,10.1016/j.socscimed.2011.02.007
OpenAlex,2013,Toward a Reflective Practice: Using Critical Incidents,10.1016/j.teln.2012.10.002
Europe PMC,2016,Rapid detection of generalized anxiety disorder and major depression in epilepsy: Validation of the GAD-7 as a complementary tool to the NDDI-E in a French sample.,10.1016/j.yebeh.2016.02.015
Semantic Scholar,2011,Accuracy of Physician's Assessment of IBS Disease Severity,10.1016/s0016-5085(11)62508-0
OpenAlex,2021,Did surgical delay due to COVD-19 affect the short- and longer-term mental health of patients?,10.1016/s0090-8258(21)00888-x
OpenAlex,2011,"Investigating the role of attentional disengagement bias in the tendency, ability and persistence of worry",10.1016/s0924-9338(11)71880-6
OpenAlex,2012,P-133 - Worry and mindfulness: the role in anxiety and depressive symptoms,10.1016/s0924-9338(12)74300-6
OpenAlex,2012,P-430 - Worry and religiosity,10.1016/s0924-9338(12)74597-2
OpenAlex,2012,"P-819 - A determination of predictive model of obsessive compulsive symptoms in students on the basis of worry, meta cognitive beliefs and maladaptive schemas",10.1016/s0924-9338(12)74986-6
OpenAlex,2012,"P-1060 - The study of factorial structure, validity and reliability of the penn state worry questionnaire (PSWQ)",10.1016/s0924-9338(12)75227-6
OpenAlex,2015,"Comparison of Clinical Characteristics of Generalized Anxiety Disorder Between Turkish Immigrants, Native Turkish and German Patients",10.1016/s0924-9338(15)32137-4
OpenAlex,2015,P.1.i.055 Generalized anxiety disorder is characterised by a non-discriminative response of the ventromedial prefrontal cortex during fear learning,10.1016/s0924-977x(15)30411-9
OpenAlex,2012,Mild Worry Symptoms Predict Decline in Learning and Memory in Healthy Older Adults: A 2-Year Prospective Cohort Study: Erratum,10.1016/s1064-7481(12)62089-2
OpenAlex,2010,Continuing Education Questions Summer 2010 JAVA,10.1016/s1552-8855(10)70061-1
Europe PMC,2015,"Effects of cognitive behaviour therapy for worry on persecutory delusions in patients with psychosis (WIT): a parallel, single-blind, randomised controlled trial with a mediation analysis.",10.1016/s2215-0366(15)00039-5
OpenAlex,2015,New treatments for psychotic disorders,10.1016/s2215-0366(15)00093-0
OpenAlex,2015,Identifying Individuals With Generalised Anxiety Disorder: A Receiver Operator Characteristic Analysis of Theoretically Relevant Measures,10.1017/bec.2015.15
OpenAlex,2021,Cognitive Behavior Therapy Targeting Intolerance of Uncertainty Versus Selective Serotonin Reuptake Inhibitor for Generalized Anxiety Disorder: A Randomized Clinical Trial,10.1017/bec.2021.16
OpenAlex,2022,Examining the relationship between perceived worry and self-efficacy in NSW department of education school counsellors,10.1017/jgc.2022.7
OpenAlex,2019,Examining social support and its relation to worry in Malaysia,10.1017/prp.2019.18
Europe PMC,2010,Neural correlates of worry in generalized anxiety disorder and in normal controls: a functional MRI study.,10.1017/s0033291709005649
Europe PMC,2021,Targeting excessive worry with internet-based extinction therapy: a randomised controlled trial with mediation analysis and economical evaluation.,10.1017/s0033291720000781
Europe PMC,2015,Experimental examination of worry among older and young adults.,10.1017/s1041610214000891
Europe PMC,2022,Evidence-based assessment of treatment outcomes for late-life generalized anxiety disorder using the Penn State Worry Questionnaire (PSWQ) and Penn State Worry Questionnaire - Abbreviated (PSWQ-A).,10.1017/s1041610221000351
OpenAlex,2023,P158: Efficacy of a self-help cognitive-behavioral therapy (GSH-CBT) guided by lay providers for generalized anxiety disorder (GAD) in older adults: preliminary results,10.1017/s1041610223003770
Europe PMC,2010,Psychometric properties and latent structure of the Portuguese version of the Penn State Worry Questionnaire.,10.1017/s113874160000398x
Europe PMC,2013,Therapist behaviours in internet-delivered cognitive behaviour therapy: analyses of e-mail correspondence in the treatment of generalized anxiety disorder.,10.1017/s1352465812000240
Europe PMC,2014,Meta-worry in adolescents: examination of the psychometric properties of the meta-worry questionnaire in an adolescent sample.,10.1017/s1352465813000374
Europe PMC,2016,A Preliminary Investigation into Worry about Mental Health: Development of the Mental Health Anxiety Inventory.,10.1017/s1352465815000454
Europe PMC,2019,Neuroticism and Somatic Complaints: Concomitant Effects of Rumination and Worry.,10.1017/s1352465818000619
Europe PMC,2019,A Feasibility Open Trial of a Brief Internet-Delivered Written Exposure Therapy for Worry.,10.1017/s1352465818000693
Europe PMC,2019,Effect of Worry Level on Recall Memory for Odors in ApoE-ε4 Carriers and Non-Carriers.,10.1017/s1355617719000158
OpenAlex,2019,Cognitive behavioural therapy for worry in young individuals with at-risk mental states: a preliminary investigation,10.1017/s1754470x19000229
OpenAlex,2022,Further development of the intolerance of uncertainty model of GAD: a case series,10.1017/s1754470x21000374
Europe PMC,2016,Psychometric Properties of the Spanish Adaptation of the Anger Rumination Scale: Evidence of Reliability and Validity in the General Population.,10.1017/sjp.2016.17
Europe PMC,2019,Pathological Worry in Portugal: The Portuguese Version of the Penn State Worry Questionnaire (PSWQ).,10.1017/sjp.2019.61
OpenAlex,2014,Hungarian Validation of the Penn State Worry Questionnaire (PSWQ),10.1027/1015-5759/a000221
OpenAlex,2020,Validity of Brief Scales for Assessing Transdiagnostic Cognitive Emotion Regulation Strategies in Primary Care Patients With Emotional Disorders,10.1027/1015-5759/a000584
OpenAlex,2022,"Factor Structure and Measurement Invariance Across Age, Gender, and Clinical Status of the Screen for Children Anxiety Related Emotional Disorders",10.1027/1015-5759/a000716
Europe PMC,2011,A randomized controlled trial of cognitive-behavioral therapy for generalized anxiety disorder with integrated techniques from emotion-focused and interpersonal therapies.,10.1037/a0022489
Europe PMC,2012,Randomized clinical trial of cognitive behavioral therapy (CBT) versus acceptance and commitment therapy (ACT) for mixed anxiety disorders.,10.1037/a0028310
Europe PMC,2013,A randomized clinical trial comparing an acceptance-based behavior therapy to applied relaxation for generalized anxiety disorder.,10.1037/a0032871
Europe PMC,2014,Psychometric properties of abbreviated and ultra-brief versions of the Penn State Worry Questionnaire.,10.1037/a0037251
Europe PMC,2015,Decentering as a potential common mechanism across two therapies for generalized anxiety disorder.,10.1037/a0038305
Europe PMC,2015,Adult attachment as a moderator of treatment outcome for generalized anxiety disorder: Comparison between cognitive-behavioral therapy (CBT) plus supportive listening and CBT plus interpersonal and emotional processing therapy.,10.1037/a0039359
Europe PMC,2025,Looking around in distress: Judgmental and attentional biases in multievidence decision making revealed in anxiety.,10.1037/abn0001018
Europe PMC,2021,Internet-delivered interpretation training reduces worry and anxiety in individuals with generalized anxiety disorder: A randomized controlled experiment.,10.1037/ccp0000660
Europe PMC,2020,Can mindfulness mechanistically target worry to improve sleep disturbances? Theory and study protocol for app-based anxiety program.,10.1037/hea0000874
Europe PMC,2016,Psychometric properties of a brief version of the Penn State Worry Questionnaire in African Americans and European Americans.,10.1037/pas0000208
Semantic Scholar,2012,Penn State Worry Questionnaire,10.1037/t01760-000
Semantic Scholar,2011,The Penn State Worry Questionnaire—French Version,10.1037/t03820-000
Semantic Scholar,2012,Revised Penn State Worry Questionnaire,10.1037/t04345-000
Semantic Scholar,2012,Penn State Worry Questionnaire for Children,10.1037/t13659-000
Semantic Scholar,2013,Penn State Worry Questionnaire-Past Week,10.1037/t16693-000
OpenAlex,2012,Penn State Worry Questionnaire—Past Day,10.1037/t37462-000
OpenAlex,2011,Penn State Worry Questionnaire--Argentinean Version,10.1037/t38170-000
OpenAlex,2010,Penn State Worry Questionnaire--Portuguese Version,10.1037/t38173-000
OpenAlex,2015,Penn State Worry Questionnaire--Hungarian Version,10.1037/t44130-000
OpenAlex,2013,Penn State Worry Questionnaire--Abbreviated Version,10.1037/t48946-000
OpenAlex,2016,Penn State Worry Questionnaire--10,10.1037/t53368-000
OpenAlex,2011,Penn State Worry Questionnaire--Ultra-Brief Version,10.1037/t54627-000
OpenAlex,2014,Penn State Worry Questionnaire--Brief Version,10.1037/t64470-000
Semantic Scholar,2019,Penn State Worry Questionnaire--German Version,10.1037/t65522-000
OpenAlex,2023,Penn State Worry Questionnaire--Portuguese Version,10.1037/t9999-97318-000
Europe PMC,2024,"Pathways towards posttraumatic stress symptomatology: A moderated mediation model including perceived stress, worry, and defense mechanisms.",10.1037/tra0001435
Europe PMC,2020,Resistance exercise training for anxiety and worry symptoms among young adults: a randomized controlled trial.,10.1038/s41598-020-74608-6
Europe PMC,2024,Autistic traits linked to anxiety and dichotomous thinking: sensory sensitivity and intolerance of uncertainty as mediators in non-clinical population.,10.1038/s41598-024-73628-w
Europe PMC,2026,The use of virtual reality technology among women undergoing intrauterine insemination: a randomized controlled study.,10.1038/s41598-025-32620-8
Europe PMC,2026,Testing the cross-cultural measurement invariance of the Penn state worry questionnaire for children (PSWQ-C) across Poland and the United States of America.,10.1038/s41598-025-34398-1
OpenAlex,2026,Disaggregating between- and within- person effects of ovarian hormones on the association between worry and error-related brain activity in a female sample,10.1038/s41598-026-63308-2
OpenAlex,2023,"Association between Kinesiophobia, Anxiety, and Chronic Neck Pain among Computer Programmers in Bangalore",10.1055/s-0043-1770072
OpenAlex,2017,Autobiographical memory specificity and general symptoms of anxiety: Indirect associations through rumination,10.1080/00207411.2017.1294968
OpenAlex,2012,The Importance of Modeling Method Effects: Resolving the (Uni)Dimensionality of the Loneliness Questionnaire,10.1080/00223891.2011.627967
OpenAlex,2012,The Loneliness Questionnaire–Short Version: An Evaluation of Reverse-Worded and Non-Reverse-Worded Items Via Item Response Theory,10.1080/00223891.2012.662188
Europe PMC,2022,The Association between Metacognitions and Worry: The Mediator Role of Experiential Avoidance Strategies.,10.1080/00223980.2022.2107977
Europe PMC,2024,The Interplay of Worry and Relationship Satisfaction to Understand Sexual Distress: An APIM Study with Heterosexual Couples Using Cross-Sectional Data.,10.1080/0092623x.2024.2391390
OpenAlex,2022,Outcomes of virtual reality technology in the management of generalised anxiety disorder: a systematic review and meta-analysis,10.1080/0144929x.2022.2118078
Europe PMC,2024,Psychometric properties of the PSWQ in a sample of pregnant and postpartum women.,10.1080/02646838.2023.2209101
OpenAlex,2021,Penn State Worry Questionnaire in emotional disorders: validation and normative data for Portuguese population,10.1080/03069885.2021.1897969
Europe PMC,2017,"Predictors of Outcomes for Older Adults Participating in Calmer Life, a Culturally Tailored Intervention for Anxiety.",10.1080/07317115.2017.1291547
OpenAlex,2017,Examining Prefrontal Cortex Activity and Tonic Anxiety in Alcohol Use Disorder Recovery: A Functional Near Infrared Spectroscopy Study,10.1080/07347324.2017.1322422
Europe PMC,2026,The mediating effect of emotion regulation on the relationship between childhood trauma and physical and cognitive symptoms in cancer patients and survivors.,10.1080/07347332.2026.2661039
Europe PMC,2017,Associations between chronotypes and psychological vulnerability factors of depression.,10.1080/07420528.2017.1345932
Europe PMC,2020,"Impairments in life satisfaction in infertility: Associations with perceived stress, affectivity, partnership quality, social support and the desire to have a child.",10.1080/08964289.2018.1564897
Europe PMC,2017,Association of CD4+ T cell subpopulations and psychological stress measures in women living with HIV.,10.1080/09540121.2017.1281880
Europe PMC,2016,A transdiagnostic investigation of emotional distress after traumatic brain injury.,10.1080/09602011.2015.1037772
Europe PMC,2021,A randomized controlled trial of a smartphone-based application for the treatment of anxiety.,10.1080/10503307.2020.1790688
Europe PMC,2024,Enhancing the effectiveness of CBT for patients with unipolar depression by integrating digital interventions into treatment: A pilot randomized controlled trial.,10.1080/10503307.2023.2277866
Europe PMC,2014,Serotonin transporter and BDNF polymorphisms interact to predict trait worry.,10.1080/10615806.2014.909928
PubMed,2017,Yin yoga and mindfulness: a five week randomized controlled study evaluating the effects of the YOMI program on stress and worry.,10.1080/10615806.2017.1301189
Europe PMC,2024,The relationship between worry and academic performance: examining the moderating role of attention control.,10.1080/10615806.2024.2308673
Europe PMC,2020,Worry as a Mechanism to Motivate Information Seeking about Protective End-of-Life Communication Behaviors.,10.1080/10810730.2020.1765222
Europe PMC,2020,Hating Adolescents Test (HAT): a preliminary development of a measure to assess hating among adolescents.,10.1080/13218719.2020.1719374
Europe PMC,2022,"Insomnia is associated with worry, cognitive avoidance and low academic engagement in Argentinian university students during the COVID-19 social isolation.",10.1080/13548506.2020.1869796
Europe PMC,2012,Assessment of anxiety in older adults: a systematic review of commonly used measures.,10.1080/13607863.2011.602960
Europe PMC,2017,Group cognitive behavioral therapy targeting intolerance of uncertainty: a randomized trial for older Chinese adults with generalized anxiety disorder.,10.1080/13607863.2016.1222349
Europe PMC,2020,Psychometric properties of worry and anxiety measures in a sample of african american and caucasian older adults.,10.1080/13607863.2018.1544217
Europe PMC,2023,Mindfulness attenuates the impact of worry on late-life cognitive function.,10.1080/13607863.2021.2017851
Europe PMC,2025,Cognitive correlates of caregiver fear of falling.,10.1080/13607863.2025.2468894
Europe PMC,2024,Suicide ideation and male-female differences in major depressive disorder.,10.1080/13651501.2024.2335950
OpenAlex,2018,Adherence to Islamic lifestyle as a cost-effective treatment for depression,10.1080/13674676.2018.1551342
OpenAlex,2026,Metacognitive beliefs and sexual dissatisfaction in women: an explorative study in a non-clinical population,10.1080/14681994.2026.2687537
Europe PMC,2017,Usefulness of self-report questionnaires for psychological assessment of patients with tinnitus and hyperacusis and patients' views of the questionnaires.,10.1080/14992027.2017.1298850
Europe PMC,2018,Examining How Racial Discrimination Impacts Sleep Quality in African Americans: Is Perseveration the Answer?,10.1080/15402002.2016.1228648
Europe PMC,2011,Guided internet-delivered cognitive behavior therapy for generalized anxiety disorder: a randomized controlled trial.,10.1080/16506073.2011.576699
Europe PMC,2011,Psychometric comparison of the generalized anxiety disorder scale-7 and the Penn State Worry Questionnaire for measuring response during treatment of generalised anxiety disorder.,10.1080/16506073.2011.582138
Europe PMC,2025,Do treatment responders maintain their gains following a randomized clinical trial comparing an acceptance-based behavior therapy to applied relaxation for generalized anxiety disorder?,10.1080/16506073.2024.2417423
Europe PMC,2025,"Examining interrelations among trajectories of mindful awareness, acceptance, and values-consistent actions in acceptance-based behavioral therapy for generalized anxiety disorder.",10.1080/16506073.2024.2423654
Europe PMC,2026,Internet-delivered cognitive behavioral therapy for adolescents with excessive worry: a randomized controlled trial with mediation analysis.,10.1080/16506073.2025.2515196
Europe PMC,2025,Physical exercise augments cognitive behaviour therapy for older adults with generalized anxiety disorder: a randomized controlled trial.,10.1080/16506073.2025.2592230
Europe PMC,2021,The Mass Media Used by University Students for Becoming Informed about Disaster News and the Effects of Disaster News on Quaternary Victimization: The Example of Burdur Province in Turkey.,10.1080/19371918.2020.1864557
OpenAlex,2021,Does self-compassion relate to the fear of the future during the 2020 coronavirus pandemic? A cross-cultural study,10.1080/23311908.2021.1976438
OpenAlex,2023,"The network structure of dysfunctional metacognitions, CAS strategies, and symptoms",10.1080/23311908.2023.2205258
OpenAlex,2020,Internet-based self-help using automatic messages and support on demand for generalized anxiety disorder: an open pilot study,10.1080/2575517x.2020.1822730
Europe PMC,2021,"Association between Spirituality, Religiosity, Spiritual Pain, Symptom Distress, and Quality of Life among Latin American Patients with Advanced Cancer: A Multicenter Study.",10.1089/jpm.2020.0776
Europe PMC,2011,"Relationships among depression, anxiety, and insomnia symptoms in perinatal women seeking mental health treatment.",10.1089/jwh.2010.2371
Europe PMC,2021,Using the Penn State Worry Questionnaire in the Peripartum.,10.1089/jwh.2020.8669
OpenAlex,2024,Problematic Internet Use and Mental Health: The Road to Violence,10.1089/vio.2023.0059
OpenAlex,2022,249 MINIMALLY-EFFECTIVE PHYSICAL ACTIVITY DOSE FOR GENERALIZED ANXIETY DISORDER AMONG OLDER ADULTS: PRELIMINARY FINDINGS FROM THE IRISH LONGITUDINAL STUDY ON AGEING,10.1093/ageing/afac218.218
OpenAlex,2016,Assessment of obsessive thoughts and worries in women with breast cancer,10.1093/annonc/mdw337.38
OpenAlex,2022,A-193 Median- and Robust Statistics-based Attention Indices Outperform Mean-based Counterparts in Predicting Anxiety,10.1093/arclin/acac060.193
OpenAlex,2023,B - 59 Testing the Cognitive Model of Pathological Worry as an Explanation for Increased Worry among the Oldest Old,10.1093/arclin/acad067.265
OpenAlex,2017,A-77The Effects of Cannabis and Anxiety on Neurocognitive Functioning,10.1093/arclin/acx076.77
OpenAlex,2021,The Impact of Covid-19 Pandemic on Family Cohesion. Results from an International Study,10.1093/eurpub/ckab165.128
OpenAlex,2020,The Penn State Worry Questionnaire Is Invariant Across Age Groups,10.1093/geroni/igaa057.1198
OpenAlex,2020,The Who and When of Worry: The Fading Impact of Gender on Worry and Anxiety Severity Among Older Adults,10.1093/geroni/igaa057.1199
OpenAlex,2020,"Objective and Subjective Cognitive Function, and Relations With Quality of Life and Psychological Distress",10.1093/geroni/igaa057.982
Semantic Scholar,2021,Care Recipient Diagnosis Moderates the Relationship Between Caregiver Worry and Vigilance,10.1093/geroni/igab046.3466
OpenAlex,2021,Care Recipient Diagnosis Moderates the Relationship Between Caregiver Worry and Vigilance,10.1093/geroni/igab046.3471
OpenAlex,2023,A RANDOMIZED CONTROLLED TRIAL OF SELF-HELP GUIDED BY LAY PROVIDERS FOR GENERALIZED ANXIETY DISORDER IN OLDER ADULTS,10.1093/geroni/igad104.2142
OpenAlex,2018,"TREATMENT OUTCOME OF CALMER LIFE, AN INTERVENTION TARGETING WORRY IN SENIORS FROM LOW-INCOME, MINORITY COMMUNITIES",10.1093/geroni/igy023.1732
Europe PMC,2018,Physical activity and generalized anxiety disorder: results from The Irish Longitudinal Study on Ageing (TILDA).,10.1093/ije/dyy141
Europe PMC,2022,Beliefs About Worry and Pain Amongst Adolescents With and Without Chronic Pain.,10.1093/jpepsy/jsab109
OpenAlex,2016,Generalized anxiety disorder assessment measures,10.1093/med:psych/9780198758846.003.0002
OpenAlex,2014,The GAD-7 questionnaire,10.1093/occmed/kqt161
OpenAlex,2020,0454 Sleep Disruptive Cognitions in Deployment-Related Insomnia,10.1093/sleep/zsaa056.451
OpenAlex,2021,765 Anxiety and sleep in Generalized Anxiety Disorder with and without Insomnia Disorder,10.1093/sleep/zsab072.762
OpenAlex,2024,0107 Bedtime Procrastination Mediates the Association Between Repetitive Negative Thoughts and Insomnia Symptoms,10.1093/sleep/zsae067.0107
OpenAlex,2019,0760 Sleep Spindle Density in Generally Anxious Children and Healthy Controls,10.1093/sleep/zsz067.758
OpenAlex,2017,0346 COGNITIVE AROUSAL IN OLDER INDIVIDUALS WITH INSOMNIA COMPLAINTS AROUSAL IN OLDER INDIVIDUALS WITH INSOMNIA COMPLAINTS,10.1093/sleepj/zsx050.345
OpenAlex,2018,An fMRI Study Examining Inhibition and Threat Vigilance Among Adolescents with Severe Worry,10.1096/fasebj.2018.32.1_supplement.782.6
Europe PMC,2015,An investigation of the associations between measures of mindfulness and pain catastrophizing.,10.1097/ajp.0000000000000102
Europe PMC,2011,Early response to psychotherapy and long-term change in worry symptoms in older adults with generalized anxiety disorder.,10.1097/jgp.0b013e3181f18061
Europe PMC,2012,A randomized controlled trial of telephone-delivered cognitive-behavioral therapy for late-life anxiety disorders.,10.1097/jgp.0b013e31822ccd3e
Europe PMC,2012,Emotional stroop performance in older adults:  effects of habitual worry.,10.1097/jgp.0b013e318230340d
Europe PMC,2025,Proinflammatory Cytokine Profiles in Menière's Disease and Vestibular Migraine.,10.1097/mao.0000000000004372
Europe PMC,2013,Treating late-life generalized anxiety disorder in primary care: an effectiveness pilot study.,10.1097/nmd.0b013e31828e0fd6
Europe PMC,2025,Correlation of Depression and Anxiety Responses on the Mild Behavioral Impairment Checklist With the Cornell Scale for Depression in Dementia and Abbreviated Version of the Penn State Worry Questionnaire.,10.1097/wad.0000000000000675
Europe PMC,2012,"Screening for depression, sleep-related disturbances, and anxiety in patients with adenocarcinoma of the pancreas: a preliminary study.",10.1100/2012/650707
Europe PMC,2024,Effect of acupuncture on anxious symptoms in healthcare students with generalized anxiety disorder: A protocol for a randomized controlled clinical trial,10.1101/2024.12.23.24319558
OpenAlex,2025,Chaos and adaptive functioning for children with autism: parental worry as a mediating factor,10.1108/aia-05-2025-0043
OpenAlex,2022,"Attitudes towards COVID‐19 vaccination: A comparison between persons with different chronicity of pre‐pandemic depressive, anxiety or obsessive–compulsive disorders",10.1111/acps.13399
OpenAlex,2016,"Perceived Parent and Peer Alienation and Its Relations to Anxiety Sensitivity, Pathological Worry, and Generalised Anxiety Disorder Symptoms",10.1111/ap.12183
Europe PMC,2014,Self-conscious emotions in worry and generalized anxiety disorder.,10.1111/bjc.12047
Europe PMC,2014,Development and assessment of brief versions of the Penn State Worry Questionnaire and the Ruminative Response Scale.,10.1111/bjc.12052
Europe PMC,2026,Imagery rescripting for generalized anxiety disorder: A case series.,10.1111/bjc.70073
Europe PMC,2026,Predictors of worry-related safety behaviours and avoidance.,10.1111/bjc.70075
OpenAlex,2016,Fatigue as a symptom in psoriasis and psoriatic arthritis: an observational study,10.1111/bjd.15258
Semantic Scholar,2022,Prize‐winning abstracts from BSACI/WAO 2022 meeting,10.1111/cea.14184
OpenAlex,2020,"Adult attachment, worry and reassurance seeking: Investigating the role of intolerance of uncertainty",10.1111/cp.12218
Europe PMC,2022,Changes in Life Satisfaction in Couples after Successful In vitro Fertilization and Natural Pregnancy.,10.1111/famp.12732
Europe PMC,2013,The interaction of early life experiences with COMT val158met affects anxiety sensitivity.,10.1111/gbb.12090
OpenAlex,2012,"Relationships between insomnia, negative emotionality and attention control",10.1111/j.1479-8425.2012.00567.x
Europe PMC,2021,Robot-mediated therapy to reduce worrying in persons with visual and intellectual disabilities.,10.1111/jar.12801
OpenAlex,2015,Do Acetylcholinesterase Inhibitors Increase Anxiety and Depression in Elderly Adults with Dementia?,10.1111/jgs.13567
Europe PMC,2023,"Anxiety in pregnancy and stress responsiveness: An exploratory study of heart rate variability, cortisol, and alpha-amylase in the third trimester.",10.1111/jne.13238
Europe PMC,2013,"Metacognitions, worry and attentional control in predicting OSCE performance test anxiety.",10.1111/medu.12125
Europe PMC,2014,Diagnostic utility of worry and rumination: a comparison between generalized anxiety disorder and major depressive disorder.,10.1111/pcn.12193
Europe PMC,2021,Psychometric properties of the Japanese version of the Geriatric Anxiety Inventory for community-dwelling older adults.,10.1111/psyg.12683
